P_ID,amenity,geometry,Latitude,Longitude,grid number,Slow,Fast,Rapid,Total
126,parking,POINT (-2.993193168965925 56.456610962722),56.45661096,-2.993193182,171,0,0,0,0
127,parking,POINT (-2.991415322536567 56.46017082916963),56.46017083,-2.991415335,172,0,0,0,0
128,parking,POINT (-2.996276010360621 56.4613499475013),56.46134995,-2.996276023,172,0,0,0,0
129,parking,POINT (-2.99692413431303 56.46126041948681),56.46126042,-2.996924147,172,0,0,0,0
130,parking,POINT (-2.995156918063422 56.47547419954508),56.4754742,-2.995156931,175,0,0,0,0
131,parking,POINT (-2.995318030448772 56.47588012069522),56.47588012,-2.995318043,175,0,0,0,0
132,parking,POINT (-2.996327698628215 56.47497400038733),56.474974,-2.996327712,175,0,0,0,0
133,parking,POINT (-2.996040665966926 56.47498631829183),56.47498632,-2.996040679,175,0,0,0,0
134,parking,POINT (-2.995106007174173 56.47736781569508),56.47736782,-2.99510602,175,0,0,0,0
135,parking,POINT (-2.996203212168123 56.4772665858868),56.47726659,-2.996203225,175,0,0,0,0
136,parking,POINT (-2.994358019095757 56.48106994724623),56.48106995,-2.994358032,176,0,0,0,0
137,parking,POINT (-2.994351085838674 56.48250089418928),56.48250089,-2.994351099,176,0,0,0,0
138,parking,POINT (-2.993010682219039 56.48141163639998),56.48141164,-2.993010695,176,0,0,0,0
139,parking,POINT (-2.993930666635965 56.4816905640554),56.48169056,-2.99393068,176,0,0,0,0
140,parking,POINT (-2.997229065081013 56.48199072598698),56.48199073,-2.997229078,176,0,0,0,0
142,parking,POINT (-3.000520978110146 56.48034702790817),56.48034703,-3.000520991,176,0,0,0,0
143,parking,POINT (-2.999931666007568 56.47926389413584),56.47926389,-2.999931679,176,0,0,0,0
144,parking,POINT (-2.995994984290147 56.48472901699015),56.48472902,-2.995994997,177,0,0,0,0
145,parking,POINT (-2.99313614961503 56.48942317791502),56.48942318,-2.993136163,178,0,0,0,0
146,parking,POINT (-2.986573628657317 56.45280821747222),56.45280822,-2.986573642,184,0,0,0,0
147,parking,POINT (-2.985352610642077 56.45200206923516),56.45200207,-2.985352624,184,0,0,0,0
148,parking,POINT (-2.986433222203429 56.45647709840792),56.4564771,-2.986433235,185,0,0,0,0
149,parking,POINT (-2.984902642980384 56.45787048228134),56.45787048,-2.984902656,185,0,0,0,0
150,parking,POINT (-2.988305793360621 56.45846151120838),56.45846151,-2.988305806,185,0,0,0,0
151,parking,POINT (-2.986078517593143 56.45850500026069),56.458505,-2.986078531,185,0,0,0,0
152,parking,POINT (-2.98633565402001 56.45472848219924),56.45472848,-2.986335667,185,0,0,0,0
153,parking,POINT (-2.984464598232293 56.45602191538079),56.45602192,-2.984464611,185,0,0,0,0
154,parking,POINT (-2.987489137055385 56.45684559999417),56.4568456,-2.98748915,185,0,0,0,0
155,parking,POINT (-2.984290155389708 56.45541694403015),56.45541694,-2.984290168,185,0,0,0,0
156,parking,POINT (-2.985183287051683 56.46283649999981),56.4628365,-2.9851833,186,0,0,0,0
157,parking,POINT (-2.984905687052228 56.46039024999739),56.46039025,-2.9849057,186,0,0,0,0
158,parking,POINT (-2.985342415866738 56.46102325992666),56.46102326,-2.985342429,186,0,0,0,0
159,parking,POINT (-2.985731207276566 56.46175589547527),56.4617559,-2.98573122,186,0,0,0,0
160,parking,POINT (-2.985452315045463 56.46142448881307),56.46142449,-2.985452328,186,0,0,0,0
161,parking,POINT (-2.985445071798948 56.46160974000401),56.46160974,-2.985445085,186,0,0,0,0
162,parking,POINT (-2.985301530939676 56.46186228048319),56.46186228,-2.985301544,186,0,0,0,0
163,parking,POINT (-2.984842137051767 56.46170534999869),56.46170535,-2.98484215,186,0,0,0,0
164,parking,POINT (-2.984853928663671 56.46064205567918),56.46064206,-2.984853942,186,0,0,0,0
165,parking,POINT (-2.983514088851515 56.46047249849814),56.4604725,-2.983514102,186,0,0,0,0
166,parking,POINT (-2.983105054317386 56.46058292355837),56.46058292,-2.983105067,186,0,0,0,0
167,parking,POINT (-2.983780070916562 56.46356126035721),56.46356126,-2.983780084,186,0,0,0,0
168,parking,POINT (-2.990583270183845 56.46313814174054),56.46313814,-2.990583283,186,0,0,0,0
169,parking,POINT (-2.989581280194656 56.45888483121994),56.45888483,-2.989581293,186,0,0,0,0
170,parking,POINT (-2.986967149252228 56.45952872232409),56.45952872,-2.986967162,186,0,0,0,0
171,parking,POINT (-2.991290958243931 56.464182494939),56.46418249,-2.991290971,187,0,0,0,0
172,parking,POINT (-2.989367187053961 56.46614685000357),56.46614685,-2.9893672,187,0,0,0,0
173,parking,POINT (-2.990992507660844 56.46556815802096),56.46556816,-2.990992521,187,0,0,0,0
176,parking,POINT (-2.9893371502267 56.46985708365552),56.46985708,-2.989337163,188,0,0,0,0
177,parking,POINT (-2.988010760090726 56.47520062217883),56.47520062,-2.988010773,189,0,0,0,0
178,parking,POINT (-2.985445160146377 56.48756448953632),56.48756449,-2.985445173,191,0,0,0,0
179,parking,POINT (-2.986989216130758 56.48784859560688),56.4878486,-2.986989229,191,0,0,0,0
180,parking,POINT (-2.987347360774772 56.48878633859607),56.48878634,-2.987347374,192,0,0,0,0
181,parking,POINT (-2.986224072561447 56.48859067988979),56.48859068,-2.986224086,192,0,0,0,0
182,parking,POINT (-2.989016162679244 56.48967641238018),56.48967641,-2.989016176,192,0,0,0,0
183,parking,POINT (-2.981770326096591 56.4526850025141),56.452685,-2.981770339,198,0,0,0,0
184,parking,POINT (-2.973549263739344 56.45656458244881),56.45656458,-2.973549277,199,0,0,0,0
185,parking,POINT (-2.977619208437929 56.45418145576097),56.45418146,-2.977619221,199,0,0,0,0
186,parking,POINT (-2.975616681635069 56.45673972738082),56.45673973,-2.975616695,199,0,0,0,0
187,parking,POINT (-2.976638046244776 56.45761676686553),56.45761677,-2.976638059,199,0,0,0,0
188,parking,POINT (-2.976867644252216 56.45817450410748),56.4581745,-2.976867657,199,0,0,0,0
189,parking,POINT (-2.976718094867747 56.45830005864897),56.45830006,-2.976718108,199,0,0,0,0
190,parking,POINT (-2.974451477608476 56.45677551725375),56.45677552,-2.974451491,199,0,0,0,0
191,parking,POINT (-2.976018663918279 56.45386629942804),56.4538663,-2.976018677,199,0,0,0,0
192,parking,POINT (-2.977054592763964 56.45633937174465),56.45633937,-2.977054606,199,0,0,0,0
193,parking,POINT (-2.978813812883423 56.45577952300436),56.45577952,-2.978813826,199,0,0,0,0
194,parking,POINT (-2.976279411907084 56.45613051509342),56.45613052,-2.976279425,199,0,0,0,0
195,parking,POINT (-2.977326417837572 56.45605969434038),56.45605969,-2.977326431,199,0,0,0,0
196,parking,POINT (-2.979680368302545 56.45509685251806),56.45509685,-2.979680381,199,0,0,0,0
197,parking,POINT (-2.975530287044931 56.45999719999594),56.4599972,-2.9755303,200,0,0,0,0
198,parking,POINT (-2.982004887050449 56.45873969999544),56.4587397,-2.9820049,200,0,0,0,0
199,parking,POINT (-2.975498573521541 56.45953444881067),56.45953445,-2.975498586,200,0,0,0,0
200,parking,POINT (-2.974731007224352 56.46053951720985),56.46053952,-2.97473102,200,0,0,0,0
201,parking,POINT (-2.974157137043835 56.46003039999584),56.4600304,-2.97415715,200,0,0,0,0
202,parking,POINT (-2.976787653590302 56.45923198369045),56.45923198,-2.976787667,200,0,0,0,0
203,parking,POINT (-2.98124594427512 56.45945739445177),56.45945739,-2.981245957,200,0,0,0,0
204,parking,POINT (-2.981071296612528 56.45971873583675),56.45971874,-2.98107131,200,0,0,0,0
205,parking,POINT (-2.976348794561207 56.46005288005502),56.46005288,-2.976348808,200,0,0,0,0
206,parking,POINT (-2.980337329739708 56.45919760451942),56.4591976,-2.980337343,200,0,0,0,0
207,parking,POINT (-2.979186000901595 56.46064380056207),56.4606438,-2.979186014,200,0,0,0,0
208,parking,POINT (-2.97692952300468 56.46032378989678),56.46032379,-2.976929536,200,0,0,0,0
209,parking,POINT (-2.98229972332604 56.46184326148086),56.46184326,-2.982299736,200,0,0,0,0
210,parking,POINT (-2.97973846599749 56.4619498727434),56.46194987,-2.979738479,200,0,0,0,0
211,parking,POINT (-2.980622705245283 56.46148984421153),56.46148984,-2.980622718,200,0,0,0,0
212,parking,POINT (-2.981551961014782 56.46318958068829),56.46318958,-2.981551974,200,0,0,0,0
213,parking,POINT (-2.976606342622262 56.46307233160453),56.46307233,-2.976606356,200,0,0,0,0
214,parking,POINT (-2.982455148991398 56.4645136650867),56.46451367,-2.982455162,201,0,0,0,0
215,parking,POINT (-2.976406168855561 56.46814769683766),56.4681477,-2.976406182,201,0,0,0,0
216,parking,POINT (-2.973810209933228 56.46507275758582),56.46507276,-2.973810223,201,0,0,0,0
217,parking,POINT (-2.97643870462909 56.47030741086962),56.47030741,-2.976438718,202,0,0,0,0
218,parking,POINT (-2.977106711649665 56.47103118596361),56.47103119,-2.977106725,202,0,0,0,0
219,parking,POINT (-2.978519659841823 56.47139309667129),56.4713931,-2.978519673,202,0,0,0,0
220,parking,POINT (-2.974943078226671 56.47521586440272),56.47521586,-2.974943091,203,0,0,0,0
221,parking,POINT (-2.980228762238891 56.47549440886289),56.47549441,-2.980228775,203,0,0,0,0
222,parking,POINT (-2.974727481359505 56.48622934609511),56.48622935,-2.974727494,205,0,0,0,0
223,parking,POINT (-2.978810975380822 56.48673480663729),56.48673481,-2.978810988,205,0,0,0,0
224,parking,POINT (-2.981351413782259 56.48928610082935),56.4892861,-2.981351427,206,0,0,0,0
225,parking,POINT (-2.970155184938044 56.45614366957295),56.45614367,-2.970155198,213,0,0,0,0
226,parking,POINT (-2.970937717043256 56.45811983540776),56.45811984,-2.97093773,213,0,0,0,0
227,parking,POINT (-2.968940978434518 56.45637890797407),56.45637891,-2.968940991,213,0,0,0,0
228,parking,POINT (-2.972668114037214 56.45523642893837),56.45523643,-2.972668127,213,0,0,0,0
229,parking,POINT (-2.971941536316982 56.45663116449995),56.45663116,-2.971941549,213,0,0,0,0
230,parking,POINT (-2.969198998347408 56.45661649451471),56.45661649,-2.969199011,213,0,0,0,0
231,parking,POINT (-2.966013532037504 56.45794006565022),56.45794007,-2.966013545,213,0,0,0,0
232,parking,POINT (-2.96743478703751 56.46324039999823),56.4632404,-2.9674348,214,0,0,0,0
233,parking,POINT (-2.964845087035675 56.46255469999726),56.4625547,-2.9648451,214,0,0,0,0
235,parking,POINT (-2.97200763090754 56.46077867173651),56.46077867,-2.972007644,214,0,0,0,0
236,parking,POINT (-2.966199132494746 56.46174928471916),56.46174928,-2.966199145,214,0,0,0,0
237,parking,POINT (-2.967944921033377 56.45973639564662),56.4597364,-2.967944934,214,0,0,0,0
238,parking,POINT (-2.970934673982496 56.46193530010905),56.4619353,-2.970934687,214,0,0,0,0
240,parking,POINT (-2.971078503415982 56.46286693625431),56.46286694,-2.971078516,214,0,0,0,0
241,parking,POINT (-2.970272530472112 56.46415073160496),56.46415073,-2.970272543,215,0,0,0,0
242,parking,POINT (-2.971804632494632 56.46468840542192),56.46468841,-2.971804645,215,0,0,0,0
243,parking,POINT (-2.967407829773896 56.46474488530146),56.46474489,-2.967407843,215,0,0,0,0
244,parking,POINT (-2.965391229251322 56.46431626989778),56.46431627,-2.965391242,215,0,0,0,0
245,parking,POINT (-2.969356517911832 56.46570972156566),56.46570972,-2.969356531,215,0,0,0,0
246,parking,POINT (-2.966592325940804 56.47310460515047),56.47310461,-2.966592339,216,0,0,0,0
247,parking,POINT (-2.969111259066384 56.47393234687818),56.47393235,-2.969111272,217,0,0,0,0
248,parking,POINT (-2.968935431906418 56.4735670017177),56.473567,-2.968935445,217,0,0,0,0
249,parking,POINT (-2.960861687033359 56.4599070999942),56.4599071,-2.9608617,228,0,0,0,0
250,parking,POINT (-2.961164787033506 56.46020759999455),56.4602076,-2.9611648,228,0,0,0,0
251,parking,POINT (-2.963697189023639 56.46049930784675),56.46049931,-2.963697202,228,0,0,0,0
252,parking,POINT (-2.961515747408277 56.46375128447227),56.46375128,-2.96151576,228,0,0,0,0
253,parking,POINT (-2.963125687034553 56.46180304999633),56.46180305,-2.9631257,228,0,0,0,0
254,parking,POINT (-2.959634697554854 56.46069764522117),56.46069765,-2.959634711,228,0,0,0,0
255,parking,POINT (-2.960062050271054 56.46258087842261),56.46258088,-2.960062063,228,0,0,0,0
256,parking,POINT (-2.96385543444916 56.46205625260881),56.46205625,-2.963855447,228,0,0,0,0
