Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
191,56.47952783,-3.00172284,162,0,0,0,0,2338.568437,-2.968479968,56.45992007,0
192,56.46823543,-2.960683898,229,0,0,0,0,690.6637979,-2.968479968,56.45992007,0
193,56.47937936,-2.904511664,316,0,0,0,0,4051.402861,-2.968479968,56.45992007,0
194,56.4805128,-2.907837775,316,0,0,0,0,3880.568998,-2.968479968,56.45992007,0
195,56.46322805,-3.036173002,103,0,0,0,0,4106.615581,-2.968479968,56.45992007,0
196,56.46341415,-3.036501893,103,0,0,0,0,4127.083524,-2.968479968,56.45992007,0
197,56.46305876,-3.035352454,116,0,0,0,0,4056.462274,-2.968479968,56.45992007,0
198,56.46295826,-3.034214103,116,0,0,0,0,3987.277586,-2.968479968,56.45992007,0
199,56.4619496,-3.035384481,116,0,0,0,0,4055.80697,-2.968479968,56.45992007,0
200,56.46238811,-3.042336283,102,0,0,0,0,4477.670395,-2.968479968,56.45992007,0
201,56.46503968,-3.044663273,89,0,0,0,0,4626.583203,-2.968479968,56.45992007,0
202,56.45586195,-3.014599341,143,0,0,0,0,2805.306548,-2.968479968,56.45992007,0
203,56.46282451,-3.036682545,102,0,0,0,0,4136.341307,-2.968479968,56.45992007,0
204,56.45794007,-2.966013545,213,0,0,0,0,191.6466749,-2.968479968,56.45992007,0
205,56.47172842,-3.010563677,146,0,0,0,0,2648.456802,-2.968479968,56.45992007,0
206,56.47169222,-3.011251224,146,0,0,0,0,2688.008851,-2.968479968,56.45992007,0
207,56.48878634,-2.987347374,192,0,0,0,0,2089.570306,-2.968479968,56.45992007,0
208,56.48859068,-2.986224086,192,0,0,0,0,2043.031994,-2.968479968,56.45992007,0
209,56.46032379,-2.976929536,200,0,0,0,0,512.5683592,-2.968479968,56.45992007,0
210,56.46184326,-2.982299736,200,0,0,0,0,845.4501014,-2.968479968,56.45992007,0
211,56.46194987,-2.979738479,200,0,0,0,0,693.1848708,-2.968479968,56.45992007,0
212,56.46148984,-2.980622718,200,0,0,0,0,741.8878068,-2.968479968,56.45992007,0
213,56.4619353,-2.970934687,214,0,0,0,0,192.4414929,-2.968479968,56.45992007,0
214,56.46614685,-2.9893672,187,0,0,0,0,1320.661293,-2.968479968,56.45992007,0
215,56.46318958,-2.981551974,200,0,0,0,0,816.4707469,-2.968479968,56.45992007,0
216,56.46039025,-2.9849057,186,0,0,0,0,995.6913042,-2.968479968,56.45992007,0
217,56.46102326,-2.985342429,186,0,0,0,0,1023.930614,-2.968479968,56.45992007,0
218,56.4617559,-2.98573122,186,0,0,0,0,1051.206506,-2.968479968,56.45992007,0
219,56.46142449,-2.985452328,186,0,0,0,0,1032.437599,-2.968479968,56.45992007,0
220,56.46160974,-2.985445085,186,0,0,0,0,1033.052445,-2.968479968,56.45992007,0
221,56.46186228,-2.985301544,186,0,0,0,0,1026.040379,-2.968479968,56.45992007,0
222,56.46170535,-2.98484215,186,0,0,0,0,997.3170073,-2.968479968,56.45992007,0
223,56.46064206,-2.984853942,186,0,0,0,0,993.1114931,-2.968479968,56.45992007,0
224,56.4604725,-2.983514102,186,0,0,0,0,911.5773824,-2.968479968,56.45992007,0
225,56.46058292,-2.983105067,186,0,0,0,0,887.0876655,-2.968479968,56.45992007,0
226,56.46356126,-2.983780084,186,0,0,0,0,952.9709864,-2.968479968,56.45992007,0
227,56.46313814,-2.990583283,186,0,0,0,0,1353.425418,-2.968479968,56.45992007,0
228,56.46556816,-2.990992521,187,0,0,0,0,1406.377968,-2.968479968,56.45992007,0
229,56.46985708,-2.989337163,188,0,0,0,0,1399.902824,-2.968479968,56.45992007,0
230,56.45888483,-2.989581293,186,0,0,0,0,1280.129451,-2.968479968,56.45992007,0
231,56.45952872,-2.986967162,186,0,0,0,0,1120.444673,-2.968479968,56.45992007,0
232,56.46017083,-2.991415335,172,0,0,0,0,1389.804723,-2.968479968,56.45992007,0
233,56.46548891,-2.96278924,229,0,0,0,0,482.452222,-2.968479968,56.45992007,0
235,56.48103517,-3.015976347,148,0,0,0,0,3149.524524,-2.968479968,56.45992007,0
